SongNumber,Title,ArtistName,AlbumName,Duration
1,Deep Sea Creature,Mastodon,Call of the Mastodon,280.21506
2,"I Didnt Mean To""""",Casual,Fear Itself,218.93179
3,Soul Deep,The Box Tops,Dimensions,148.03546
4,Amor De Cabaret,Sonora Santanera,Las Numero 1 De La Sonora Santanera,177.47546
5,Something Girls,Adam Ant,Friend Or Foe,233.40363
6,Face the Ashes,Gob,Muertos Vivos,209.60608
7,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,Ordinary Day,267.7024
8,Keepin It Real (Skit),Rated R,Da Ghetto Psychic,114.78159
9,Drop of Rain,Tweeterfriendly Music,Gin & Phonic,189.57016
10,Pink World,Planet P Project,Pink World,269.81832
11,Insatiable (Instrumental Version),Clp,Superinstrumental,266.39628
12,Young Boy Blues,JennyAnyKind,I Need You,218.77506
13,The Urgency (LP Version),Wayne Watson,The Way Home,245.21098
14,La Culpa,Andy Andy,Placer & Castigo,226.35057
15,Auguri Cha Cha,Bob Azzam,Arrivederci,191.84281
16,Tonight Will Be Alright,Lionel Richie,Dancing On The Ceiling,307.3824
17,Floating,Blue Rodeo,Outskirts,491.12771
18,High Tide,Richard Souther,Cross Currents,228.5971
19,Sohna Nee Sohna Data,Faiz Ali Faiz,Panjtan Ka Ghulam,599.24853
20,Caught In A Dream,Tesla,Gold,290.29832
21,Synthetic Dream,lextrical,Whatever Happened To Boredom?,165.69424
22,Broken-Down Merry-Go-Round,Jimmy Wakely,1942-1952 Jimmy Wakely,151.84934
23,Kassie Jones,Alice Stuart,All The Good Times,220.78649
24,Setanta matins,Elena,Un cafe_ setanta matins,269.58322
25,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,Miss Machine,207.77751
26,James (Hold The Ladder Steady),SUE THOMPSON,Sue Thompson - Her Very Best,124.86485
27,Made Like This (Live),Five Bolt Main,Live,225.09669
28,Superconfidential,Clp,Strictly Confidential,338.31138
29,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,The Real Twang Thang,186.48771
30,Spanish Grease,Willie Bobo,"Willie Bobos Finest Hour""""",168.25424
31,Crazy Mixed Up World,Faye Adams,Shake A Hand,156.39465
32,Do You Finally Need A Friend,Terry Callier,Occasional Rain,342.56934
33,The Emperor Falls,John Wesley,The Emperor Falls,484.62322
34,Twist and Shout,The Shangri-Las,Best of The Shangri-Las,164.80608
35,It Makes No Difference Now,Billie Jo Spears,20 Of Her Best,133.32853
36,Laws Patrolling (Album Version),"Mike Jones (Featuring CJ_ Mello & Lil Bran)""""",Who Is Mike Jones?,173.66159
37,\xc2\xbfD\xc3\xb3nde va Chichi?,Sierra Maestra,Tibiri Tabara,313.12934
38,"Barking Dogs (From Piouhgd"")""",Butthole Surfers,Piouhgd + Widowermaker!,450.84689
