No.,Title,Artist(s),,,,
54,"""No Lie""",2 Chainz featuring Drake,,,,
12,"""Set Fire to the Rain""",Adele,,,,
43,"""Someone like You""",Adele,,,,
64,"""Rumour Has It""",Adele,,,,
71,"""Rolling in the Deep""",Adele,,,,
30,"""Too Close""",Alex Clare,,,,
80,"""So Good""",B.o.B,,,,
57,"""Dance (A$$)""",Big Sean featuring Nicki Minaj,,,,
26,"""It Will Rain""",Bruno Mars,,,,
42,"""Feel So Close""",Calvin Harris,,,,
65,"""Let's Go""",Calvin Harris featuring Ne-Yo,,,,
2,"""Call Me Maybe""",Carly Rae Jepsen,,,,
66,"""Good Girl""",Carrie Underwood,,,,
70,"""Blown Away""",Carrie Underwood,,,,
92,"""Cashin' Out""",Cash Out,,,,
55,"""Want U Back""",Cher Lloyd,,,,
56,"""Don't Wake Me Up""",Chris Brown,,,,
84,"""Turn Up the Music""",Chris Brown,,,,
87,"""A Thousand Years""",Christina Perri,,,,
69,"""Paradise""",Coldplay,,,,
35,"""Turn Me On""",David Guetta featuring Nicki Minaj,,,,
24,"""Titanium""",David Guetta featuring Sia,,,,
50,"""Without You""",David Guetta featuring Usher,,,,
39,"""Give Your Heart a Break""",Demi Lovato,,,,
20,"""The Motto""",Drake featuring Lil Wayne,,,,
23,"""Take Care""",Drake featuring Rihanna,,,,
99,"""Even If It Breaks Your Heart""",Eli Young Band,,,,
5,"""Lights""",Ellie Goulding,,,,
58,"""Springsteen""",Eric Church,,,,
16,"""Good Feeling""",Flo Rida,,,,
17,"""Whistle""",Flo Rida,,,,
11,"""Wild Ones""",Flo Rida featuring Sia,,,,
14,"""Some Nights""",Fun,,,,
3,"""We Are Young""",Fun featuring Janelle Monáe,,,,
60,"""Not Over You""",Gavin DeGraw,,,,
1,"""Somebody That I Used to Know""",Gotye featuring Kimbra,,,,
61,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,,,,
51,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,,,,
90,"""We Run the Night""",Havana Brown featuring Pitbull,,,,
52,"""Wanted""",Hunter Hayes,,,,
91,"""It's Time""",Imagine Dragons,,,,
63,"""Work Out""",J. Cole,,,,
88,"""Take a Little Ride""",Jason Aldean,,,,
98,"""Fly Over States""",Jason Aldean,,,,
25,"""I Won't Give Up""",Jason Mraz,,,,
40,"""Niggas in Paris""",Jay-Z and Kanye West,,,,
46,"""Domino""",Jessie J,,,,
28,"""Boyfriend""",Justin Bieber,,,,
34,"""As Long as You Love Me""",Justin Bieber featuring Big Sean,,,,
27,"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz",,,,
59,"""Brokenhearted""",Karmin,,,,
15,"""Wide Awake""",Katy Perry,,,,
31,"""Part of Me""",Katy Perry,,,,
41,"""The One That Got Away""",Katy Perry,,,,
7,"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,,,,
76,"""Come Over""",Kenny Chesney,,,,
85,"""Die Young""",Kesha,,,,
