SongNumber,Title,ArtistName,AlbumName,Duration
101,Deep Sea Creature,Mastodon,Call of the Mastodon,280.21506
102,"I Didnt Mean To""""",Casual,Fear Itself,218.93179
103,Soul Deep,The Box Tops,Dimensions,148.03546
104,Amor De Cabaret,Sonora Santanera,Las Numero 1 De La Sonora Santanera,177.47546
105,Something Girls,Adam Ant,Friend Or Foe,233.40363
106,Face the Ashes,Gob,Muertos Vivos,209.60608
107,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,Ordinary Day,267.7024
108,Keepin It Real (Skit),Rated R,Da Ghetto Psychic,114.78159
109,Drop of Rain,Tweeterfriendly Music,Gin & Phonic,189.57016
110,Pink World,Planet P Project,Pink World,269.81832
111,Somebody That I Used To Know,Gotye & Kimbre,Making Mirrors,
112,Call me Mybe,Carly Rae Jepsen,kiss,
113,Sweather Weather,The Neighbourhood,I Love You,
114,Royals,Lorde,Lazy Afternoon,
115,Thinking About You,Frank Ocean,Orange,
116,Boyfriend,Justin Bieber,Believes,
117,Some Nights,Fun,Some Nights,
118,R U Mine?,Arctic Monkey,AM,
119,Florence Adolescent, Arctic Monkey,Favourite Worst Nightmare,
120,All Of Me,John Legend,Love in the Future,
121,Set Fire to the Rain.Adele,21,
122,Whistle,Flo Rida,Wild Ones,
123,Classic,MKTO,MKTO,
124,Still Into You,Paramore,Paramore,
125,Wake Me Up,Avicii,True,
126,Mirrors,Justin Timberlake,The 20/20 Experience,
126,Suit & Tie,Justin Timberlake,The 20/20 Experience,
127,High Hopes,Kodaline,In a Perfect World,
128,Pompeii,Bastille,All This Bad Blood,
129,Safe and Sound,Capital Cities,In a Tidal Wave of Mystery,
130,Virtual Aerobics,Wallows,Remote,
